team|player|observations|score|expectedScore|scoreDiff
Brisbane Lions|Rhys Mathieson|6|13|18.733333|-5.733333
North Melbourne|Lachie Young|2|1|6.722222|-5.722222
Collingwood|Jordan De Goey|56|161|166.617761|-5.61776099999997
Brisbane Lions|Zac Bailey|54|186|191.605512|-5.60551200000003
Sydney Swans|Chad Warner|9|34|39.536437|-5.536437
GWS Giants|Isaac Cumming|5|9|14.527778|-5.527778
GWS Giants|Tim Taranto|38|91|96.317062|-5.31706200000001
St Kilda|Jack Steele|29|86|91.2762767|-5.27627670000001
GWS Giants|Lachie Whitfield|8|19|24.242484|-5.242484
West Coast Eagles|Bailey J. Williams|5|15|20.197528|-5.197528
Western Bulldogs|Stefan Martin|3|6|11.190476|-5.190476
Hawthorn|Blake Hardwick|2|2|7.147059|-5.147059
Carlton|Matthew Owies|34|107|112.0737953|-5.07379530000001
Carlton|Will Setterfield|8|11|16.0240033|-5.0240033
Adelaide Crows|Lachlan Gollant|3|7|12.014036|-5.014036
Gold Coast Suns|Malcolm Rosas|5|4|9.012644|-5.012644
Port Adelaide|Aliir Aliir|2|1|5.980549|-4.980549
West Coast Eagles|Nic Naitanui|13|25|29.934715|-4.934715
Gold Coast Suns|Jeremy Sharp|6|15|19.929762|-4.929762
North Melbourne|Jy Simpkin|11|11|15.8905797|-4.8905797
Adelaide Crows|Paul Seedsman|27|77|81.774737|-4.774737
GWS Giants|Sam J. Reid|8|27|31.740006|-4.740006
St Kilda|Rowan Marshall|17|59|63.67811|-4.67811
Adelaide Crows|James Rowe|36|101|105.612237|-4.61223699999999
Melbourne|James Harmes|18|44|48.517099|-4.517099
Gold Coast Suns|Brandon Ellis|7|26|30.5099407|-4.5099407
West Coast Eagles|Jarrod Brander|12|36|40.419709|-4.419709
Geelong Cats|Patrick Dangerfield|16|48|52.418349|-4.418349
Brisbane Lions|Dayne Zorko|40|116|120.4100963|-4.41009629999999
Geelong Cats|Brad Close|30|100|104.189576|-4.189576
Gold Coast Suns|Joel Jeffrey|7|15|19.08262|-4.08262
Carlton|Nic Newman|2|1|5.066667|-4.066667
Carlton|Sam Petrevski-Seton|5|9|13.062239|-4.062239
Carlton|Sam Walsh|24|66|70.013683|-4.01368299999999
Gold Coast Suns|Alex Davies|2|1|5|-4
Geelong Cats|Josh Jenkins|2|2|5.974545|-3.974545
